Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7354105,WHOSIS_000001,COUNTRY,FRA,YEAR,EUR,Europe,SEX,2006,SEX_MLE,,,,,,,77.1 [77.1-77.2],77.14308795,77.0845104,77.2016655,,2024-08-02T09:43:39.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
7354716,WHOSIS_000001,REGION,EUR,YEAR,,,SEX,2009,SEX_MLE,,,,,,,71.7 [71.6-71.8],71.66614409,71.58683927,71.817915,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
7355539,WHOSIS_000001,COUNTRY,ITA,YEAR,EUR,Europe,SEX,2003,SEX_FMLE,,,,,,,82.4 [82.4-82.5],82.44532554,82.39214077,82.4985103,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
7355587,WHOSIS_000001,COUNTRY,MRT,YEAR,AFR,Africa,SEX,2017,SEX_BTSX,,,,,,,69.8 [69.0-70.6],69.81185094,68.97821616,70.63544697,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
7355610,WHOSIS_000001,COUNTRY,KWT,YEAR,EMR,Eastern Mediterranean,SEX,2013,SEX_FMLE,,,,,,,84.4 [84.3-84.6],84.43919253,84.34900839,84.59184454,,2024-08-02T09:43:39.193+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
7355719,WHOSIS_000001,REGION,WPR,YEAR,,,SEX,2008,SEX_BTSX,,,,,,,74.7 [74.4-75.1],74.68933231,74.38339379,75.05598723,,2024-08-02T09:43:39.193+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
7355849,WHOSIS_000001,COUNTRY,MDG,YEAR,AFR,Africa,SEX,2009,SEX_BTSX,,,,,,,62.2 [61.7-63.0],62.2488395,61.65385328,63.00045851,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
7355951,WHOSIS_000001,COUNTRY,CUB,YEAR,AMR,Americas,SEX,2000,SEX_FMLE,,,,,,,79.0 [78.9-79.1],78.96098203,78.91771054,79.07412553,,2024-08-02T09:43:39.193+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
7357296,WHOSIS_000001,COUNTRY,SVK,YEAR,EUR,Europe,SEX,2021,SEX_BTSX,,,,,,,74.5 [74.5-74.6],74.50941328,74.45074363,74.62232472,,2024-08-02T09:43:39.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
7357442,WHOSIS_000001,COUNTRY,TKM,YEAR,EUR,Europe,SEX,2000,SEX_BTSX,,,,,,,65.6 [65.0-66.2],65.56917712,65.00173255,66.19732231,,2024-08-02T09:43:39.193+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
7359835,WHOSIS_000001,COUNTRY,KWT,YEAR,EMR,Eastern Mediterranean,SEX,2012,SEX_BTSX,,,,,,,81.3 [81.2-81.5],81.34259433,81.24236371,81.50609557,,2024-08-02T09:43:39.193+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
