SpatialDimType,SpatialDim,ParentLocation,TimeDim,Dim1,NumericValue
GLOBAL,GLOBAL,,2016,Female,75.07098838
COUNTRY,CIV,Africa,2002,Female,53.79916354
COUNTRY,PAN,Americas,2012,Both,77.44906477
COUNTRY,DOM,Americas,2018,Male,70.38140483
COUNTRY,GEO,Europe,2016,Both,72.63239027
COUNTRY,IRQ,Eastern Mediterranean,2018,Male,70.41628421
COUNTRY,AGO,Africa,2008,Female,58.23962808
COUNTRY,BGR,Europe,2015,Female,78.03978724
COUNTRY,PRY,Americas,2016,Male,72.11745086
COUNTRY,FSM,Western Pacific,2011,Both,64.90882285
REGION,SEAR,,2005,Both,66.31183727
COUNTRY,KHM,Western Pacific,2001,Female,62.1798232
COUNTRY,IRQ,Eastern Mediterranean,2018,Both,73.06286041
COUNTRY,MLT,Europe,2003,Both,78.67686
COUNTRY,GRC,Europe,2021,Female,81.95119556
COUNTRY,EST,Europe,2009,Both,75.04425699
COUNTRY,MAR,Eastern Mediterranean,2000,Both,70.19460372
COUNTRY,SVK,Europe,2001,Both,73.45130702
COUNTRY,PAN,Americas,2019,Female,81.85566499
COUNTRY,NPL,South-East Asia,2020,Female,72.99390367
COUNTRY,GNQ,Africa,2002,Both,55.47366319
COUNTRY,UKR,Europe,2009,Female,74.68599749
COUNTRY,SEN,Africa,2011,Male,64.28966723
COUNTRY,ISR,Europe,2006,Male,77.93135006
COUNTRY,ATG,Americas,2003,Male,72.95942707
COUNTRY,SVN,Europe,2005,Female,80.73285367
COUNTRY,SLV,Americas,2004,Male,68.89493973
COUNTRY,CZE,Europe,2012,Both,77.96926876
COUNTRY,MRT,Africa,2004,Male,65.67198006
COUNTRY,KEN,Africa,2016,Female,67.52974996
COUNTRY,SEN,Africa,2021,Both,67.79198263
COUNTRY,USA,Americas,2020,Female,79.50562761
COUNTRY,HTI,Americas,2010,Male,43.92518194
COUNTRY,NGA,Africa,2011,Male,58.83084255
COUNTRY,VNM,Western Pacific,2014,Female,77.40416308
COUNTRY,LCA,Americas,2017,Both,76.138896
COUNTRY,MMR,South-East Asia,2009,Both,63.9906783
COUNTRY,SRB,Europe,2013,Female,77.78790595
COUNTRY,DZA,Africa,2000,Both,72.46839135
COUNTRY,JPN,Western Pacific,2012,Male,80.27508688
COUNTRY,EGY,Eastern Mediterranean,2008,Male,67.11835054
REGION,EUR,,2017,Male,74.45484928
COUNTRY,TUN,Eastern Mediterranean,2018,Female,79.76295975
COUNTRY,JOR,Eastern Mediterranean,2008,Female,75.76253849
COUNTRY,MUS,Africa,2012,Female,77.18541089
COUNTRY,SLB,Western Pacific,2007,Both,63.76837921
REGION,EMR,,2011,Female,69.73995187
COUNTRY,HND,Americas,2006,Male,69.93218868
COUNTRY,LBN,Eastern Mediterranean,2017,Female,81.32461399
COUNTRY,BGD,South-East Asia,2014,Female,74.00528111
COUNTRY,AUT,Europe,2017,Both,81.38857295
COUNTRY,PRY,Americas,2019,Male,72.18344057
